task_id,Hardware_Setup,AOI_type,Row_num,Row_genre,Row_position,Page,AOI_min_x,AOI_max_x,AOI_min_y,AOI_max_y
01,Pilot_Study,Genre_text,1,Crime,,1,76.0,168.0,106.0,149.0
01,Pilot_Study,Genre_text,2,Animation,,1,76.0,238.0,445.0,488.0
01,Pilot_Study,Genre_text,3,Romance,,1,76.0,219.0,785.0,828.0
01,Pilot_Study,Genre_text,4,Drama,,1,76.0,181.0,1124.0,1167.0
01,Pilot_Study,Genre_text,5,Sci-Fi,,1,76.0,155.0,1464.0,1507.0
01,Pilot_Study,Genre_text,6,Horror,,1,76.0,180.0,1803.0,1846.0
01,Pilot_Study,Genre_text,7,Fantasy,,1,76.0,197.0,2143.0,2186.0
01,Pilot_Study,Genre_text,8,Action,,1,76.0,176.0,2482.0,2525.0
01,Pilot_Study,Genre_text,9,Comedy,,1,76.0,200.0,2822.0,2865.0
01,Pilot_Study,Genre_text,10,Thriller,,1,76.0,189.0,3161.0,3204.0
01,Pilot_Study,Movie,1,Crime,1,1,76.0,418.0,176.0,369.0
01,Pilot_Study,Movie,1,Crime,2,1,427.0,769.0,176.0,369.0
01,Pilot_Study,Movie,1,Crime,3,1,778.0,1120.0,176.0,369.0
01,Pilot_Study,Movie,1,Crime,4,1,1129.0,1471.0,176.0,369.0
01,Pilot_Study,Movie,1,Crime,5,1,1480.0,1822.0,176.0,369.0
01,Pilot_Study,Movie,2,Animation,1,1,76.0,418.0,516.0,709.0
01,Pilot_Study,Movie,2,Animation,2,1,427.0,769.0,516.0,709.0
01,Pilot_Study,Movie,2,Animation,3,1,778.0,1120.0,516.0,709.0
01,Pilot_Study,Movie,2,Animation,4,1,1129.0,1471.0,516.0,709.0
01,Pilot_Study,Movie,2,Animation,5,1,1480.0,1822.0,516.0,709.0
01,Pilot_Study,Movie,3,Romance,1,1,76.0,418.0,855.0,1048.0
01,Pilot_Study,Movie,3,Romance,2,1,427.0,769.0,855.0,1048.0
01,Pilot_Study,Movie,3,Romance,3,1,778.0,1120.0,855.0,1048.0
01,Pilot_Study,Movie,3,Romance,4,1,1129.0,1471.0,855.0,1048.0
01,Pilot_Study,Movie,3,Romance,5,1,1480.0,1822.0,855.0,1048.0
01,Pilot_Study,Movie,4,Drama,1,1,76.0,418.0,1195.0,1388.0
